year BS1 BS2 BS3 BS4 BS5 BS6 BS7 BS8 BS9 BS10 BS11 BS12 BS13 BS14 BS15 BS16 BS17 BS18 BS19 BS20 BS21 BS22 BS23 BS24 BS25 BS26 BS27 BS28 BS29 BS30 BS31 BS32 BS33 BS34 BS35 BS36 BS37 BS38 BS39 BS40 BS41 BS42 BS43 BS44 BS45 BS46 BS47 BS48 BS49 BS50 BS51 BS52 BS53 BS54 BS55 BS56 BS57 BS58 BS59 BS60 BS61 BS62 BS63 BS64 BS65 BS66 BS67 BS68 BS69 BS70 BS71 BS72 BS73 BS74 BS75 BS76 BS77 BS78 BS79 BS80 BS81 BS82 BS83 BS84 BS85 BS86 BS87 BS88 BS89 BS90 BS91 BS92 BS93 BS94 BS95 BS96 BS97 BS98 BS99 BS100
1942 e26s e244 e23c e24t e27y e28n e26m e229 e24w e21q e23y e22s e226 e23z e27u e230 e2ai e21w e27f e250 e21c e248 e28j e225 e21l e23e e2aq e28f e25i e236 e21k e24y e237 e20s e220 e22j e2ak e25l e22m e23k e2a8 e22d e2ab e28s e22z e29s e222 e20q e23s e274 e29k e20c e29j e238 e2at e25k e24a e22o e291 e2aj e267 e293 e20x e27r e29y e24q e21j e27a e272 e25n e28d e20u e2av e23d e20l e21o e26y e21x e26t e29b e27x e21n e29q e22v e2aw e27i e259 e24f e22a e2a5 e209 e25x e208 e294 e23x e27c e25e e20j e29r e22r
1943 e3aa e38n e33w e3b3 e38h e37i e36h e316 e38m e34g e30w e31k e37b e33c e309 e32v e310 e393 e32u e39i e359 e30f e38j e38r e39h e31q e39g e35c e3b2 e35w e379 e3az e3a7 e31d e38c e303 e36q e34i e32b e354 e34f e317 e30i e37f e3ag e3b0 e36l e39d e37q e3ae e32s e380 e36s e33h e37h e34a e32r e31c e32f e33l e34l e31x e382 e373 e383 e33y e33z e369 e37n e357 e321 e37d e31p e36p e34b e385 e33n e3ad e39u e33q e35d e33x e37o e39j e39m e3ap e32j e33t e343 e37u e336 e328 e31h e38f e31l e34d e36z e3ax e32a e3am
1944 e48s e40e e45i e42c e47q e492 e47p e4aw e47s e40i e47u e406 e40m e42v e454 e47j e48q e410 e47b e48c e45g e49m e40q e499 e48x e43z e41j e41k e469 e45e e466 e42j e43u e41p e4an e42r e444 e49p e44n e41g e483 e455 e43q e47i e44r e45h e4ad e4b2 e450 e40c e40g e4ag e46x e494 e4af e458 e44x e456 e46m e481 e4ak e4a3 e42q e40s e41h e48m e49h e402 e4av e46q e47l e44e e43o e4as e40b e43p e44k e48i e49t e45b e46d e46b e486 e4ax e48f e45v e44y e49o e495 e40h e45r e47c e45w e46o e422 e43r e40a e4a4 e489 e441
1945 e56m e5az e52t e50i e51h e59b e52v e5ay e57d e59q e52h e58t e509 e5ad e59s e520 e55v e52g e572 e59d e58q e52y e542 e543 e518 e521 e51l e541 e5a7 e56s e52o e56l e59p e54x e5ae e550 e504 e5af e57v e57i e545 e500 e51z e5a9 e560 e529 e54p e58n e53r e569 e56p e54a e54w e5an e55e e52e e5ar e53g e523 e5ap e50t e59m e50w e585 e559 e596 e54z e51c e51r e58j e524 e5aa e587 e56j e55y e51t e53q e5b1 e54n e55d e52n e591 e5ab e55c e56k e5ah e503 e52u e58y e511 e502 e527 e57c e582 e59x e52d e555 e5au e57l e566
1946 e63e e66d e61s e67v e64e e6au e62a e6ac e67m e68v e684 e63i e63z e61n e65v e64j e638 e66p e69t e698 e67o e644 e6b2 e67p e655 e67g e66u e68r e6a0 e60c e63s e632 e68j e66t e64v e6a6 e68s e620 e6a2 e60f e65i e66m e61m e6a9 e65n e67q e601 e6ap e6a5 e60u e640 e672 e62k e6as e60o e65h e65a e69y e62t e67f e63y e686 e65m e64f e691 e648 e69k e65f e676 e62j e63f e69e e645 e626 e6ay e654 e630 e671 e64k e63w e65k e61l e65u e64r e63x e63a e653 e66f e63n e64m e62c e69i e62u e689 e66y e63q e6ao e64i e69f e62b
1947 e786 e75e e737 e773 e76t e78s e7b3 e73o e77a e72e e74w e79j e77b e77l e7as e71i e77i e7au e70p e75v e70j e71c e778 e77p e717 e74p e7ai e71g e7aj e71l e72h e71v e75z e70a e755 e73b e71n e720 e75n e72r e76f e75j e79y e743 e74i e74o e75h e721 e71f e75g e72y e742 e747 e74n e733 e76r e78t e7aw e76v e79z e75w e70m e71j e700 e72f e72g e77w e76x e76g e71y e70o e707 e7aq e7ax e70s e791 e7a5 e77r e709 e702 e750 e7ag e70b e78d e71r e73s e71q e749 e770 e75s e72c e71s e74y e77d e75o e70g e70d e76u e712 e73h
1948 e846 e89s e88h e862 e8aj e88n e836 e83x e824 e8an e85e e87u e840 e86n e857 e87p e83g e82y e83e e86h e89n e87f e82g e81l e87t e81n e88u e85z e81r e812 e80a e858 e88v e88r e85g e89u e8ar e80l e829 e81d e882 e8ab e89v e896 e8am e88t e82f e891 e81z e868 e82t e897 e845 e8as e852 e81w e89g e826 e88f e80b e85f e84n e80p e87w e841 e83w e85y e82s e835 e83j e81m e86l e83d e86u e81t e8av e806 e81b e89i e87y e88j e863 e804 e86e e80e e85r e88k e8ai e871 e89j e89m e83l e8a9 e84u e88o e8b3 e81f e87d e888 e85d
1949 e983 e92r e933 e94y e93q e94s e955 e99v e92h e90m e92m e907 e93o e958 e94r e90x e9aq e911 e9ap e964 e91f e95s e96l e932 e99e e97m e96w e92x e985 e95r e9a0 e93k e97a e934 e999 e978 e986 e967 e99m e98a e99l e90d e926 e98w e99k e95j e9ad e96a e970 e97u e99i e9ax e90h e9a9 e96z e90u e97v e97x e993 e931 e9ay e93p e94p e9a8 e94f e92v e982 e92j e9b0 e91p e95k e99d e90z e929 e90j e95h e990 e99t e90t e9aw e99w e987 e92n e91l e95w e9ai e97s e96p e95i e91s e90w e939 e9ah e95d e95u e91e e92t e909 e968 e928
1950 f09q f04r f05i f01i f0b1 f09i f06q f097 f09g f077 f09a f0ai f004 f03m f03e f03w f07v f04b f06v f068 f07g f01f f072 f00e f04a f07d f01q f043 f07u f00g f050 f0a1 f0af f011 f033 f04k f0a4 f059 f09s f04w f05q f00c f00s f01j f06l f00w f04y f09e f0ae f0ap f01y f073 f091 f071 f02d f0at f08n f005 f046 f045 f06p f00p f085 f08a f041 f058 f0az f083 f07q f079 f02q f03i f0a5 f03s f08l f08o f06o f03u f08d f006 f07t f00h f05c f01k f02b f017 f08v f0aw f08y f063 f07a f052 f040 f082 f01z f054 f05u f0av f02j f066
1951 f12n f18i f139 f13x f13a f17u f144 f166 f14e f131 f13c f11o f11b f11p f10i f126 f16q f18j f16v f124 f194 f1ad f10p f13s f11l f12k f1a8 f165 f13z f18s f17t f14p f16a f103 f15e f12v f134 f16y f14n f154 f10g f185 f141 f18k f12h f10y f13o f12j f16d f15r f168 f13h f11t f17x f125 f1ab f10v f14v f19j f1aa f140 f17r f14i f16z f171 f18n f10a f13v f12m f13k f17e f10w f17z f1aw f1a3 f19y f13t f15a f1a7 f10k f142 f17w f18f f10o f11m f18m f19w f15n f13n f1ar f16k f16u f10b f10l f16s f12i f15w f181 f12s f18w
1952 f293 f28o f20y f2af f25i f2an f2ac f232 f24h f221 f29u f2a9 f2ap f270 f2as f24s f29x f22r f243 f28t f2ah f2a3 f25f f22w f273 f25p f27j f26s f20z f27b f23w f28b f20m f20s f28m f231 f29z f22f f276 f2a0 f2ab f28y f272 f289 f21w f29w f2al f201 f21x f21q f257 f25r f22z f236 f254 f29t f23k f2aq f228 f2ad f21l f24v f29o f21f f29i f24z f27u f24u f25q f27t f27x f23o f262 f25s f21k f24a f22t f213 f28q f26g f28j f287 f21h f203 f240 f297 f24l f25n f23u f27c f223 f26e f20v f225 f28d f261 f215 f2ae f28x f21c
1953 f31w f390 f386 f38q f34c f362 f367 f37l f34f f377 f32d f35k f39r f39e f30c f38j f392 f3b1 f35a f30f f375 f318 f339 f388 f37q f30i f36g f397 f35o f32l f39g f33f f37w f34e f36i f38n f368 f30a f358 f38w f39l f3ag f34o f314 f38k f39q f3az f35i f33t f3ah f32e f30q f317 f328 f32x f36n f34t f39j f354 f3b0 f34j f3aq f31j f300 f32j f31m f33d f32o f38f f355 f31b f34m f38v f39k f3a9 f312 f381 f32t f35z f33z f30b f33j f31x f3a0 f30n f36z f36v f32y f30j f38y f30t f308 f36q f34b f391 f3a2 f35c f304 f35y f31c
1954 f471 f4ah f4a0 f43f f4ak f40a f417 f43x f49i f4a4 f43m f488 f4aq f41m f4ae f44d f474 f47k f46l f4av f46g f47v f46n f45q f45y f46p f42o f428 f430 f47u f41f f40e f45j f468 f42l f48r f41e f42t f43v f440 f42u f49z f405 f48k f47s f450 f456 f44g f434 f44j f40b f458 f40c f4al f40s f403 f44q f46w f45c f46k f45s f48f f44r f481 f44c f42d f463 f46z f49o f4aj f483 f443 f43j f42k f43h f438 f49x f47a f49t f43t f47m f49w f48v f41b f4az f4b3 f445 f46v f49y f46s f45e f48j f47h f40k f42y f404 f49q f414 f4a5 f441
1955 f59w f53r f56v f58i f59j f56q f575 f52v f58u f53p f50c f51e f586 f56g f54c f58v f53t f59k f53q f50a f58w f52e f530 f57x f56u f582 f527 f57z f58g f593 f5ap f52o f546 f53g f51w f509 f58s f52m f542 f56i f57g f50s f5az f55k f50z f53x f52g f53z f53s f513 f589 f52z f54n f54d f5ak f55s f555 f581 f58f f5at f564 f56d f55m f5ax f5b3 f57r f55r f5a2 f57d f576 f56o f554 f537 f56k f528 f563 f57j f561 f53a f56l f522 f553 f50x f52y f51f f5ac f52n f583 f50b f536 f53d f5aj f510 f5ae f584 f54b f5ab f5an f54l f55o
1956 f65u f657 f61s f619 f680 f634 f629 f66v f61d f697 f63y f62i f6a7 f60s f66r f68c f67q f6ae f65l f67r f65o f64e f68l f69g f695 f67y f6a9 f65q f67s f69x f64s f65r f6a0 f61b f633 f6ak f69w f69k f684 f65f f624 f638 f64v f652 f61k f62x f681 f62t f67d f66c f674 f62f f66t f640 f68g f6aw f663 f66h f68i f66n f6aj f60u f62u f68e f61r f60j f6as f602 f69l f6ao f67x f68m f6b1 f6ai f603 f6am f65w f69v f605 f64f f67g f676 f60a f666 f61f f69o f60x f61j f63c f642 f67h f604 f648 f60v f687 f69m f67e f60n f6ax f60k
1957 f77m f793 f791 f754 f75d f77r f72o f78d f74a f74n f745 f79h f7a8 f725 f735 f79s f70u f71k f781 f79i f73g f753 f7ae f7a2 f76k f70r f759 f7an f77y f761 f72d f74c f712 f75r f7a5 f77x f71a f73q f79w f71n f76c f7a0 f703 f733 f72k f776 f7ar f7ak f76o f77s f72v f78z f73p f71u f713 f72q f76r f79o f75m f79l f749 f75k f75z f789 f747 f778 f716 f77k f76y f79x f787 f74q f704 f7b3 f75w f7aj f7am f73b f77i f72i f7au f71c f70m f7ai f709 f79y f718 f70n f70z f75p f70c f7a1 f783 f720 f74v f71l f73w f771 f76f f72l
1958 f811 f88y f8ax f8a4 f81b f89x f892 f891 f83v f817 f80d f84c f87j f89p f894 f81w f83t f89t f881 f814 f848 f8ai f80t f82p f86g f815 f83s f85x f83g f81e f85l f80y f875 f86f f88i f80r f88p f83i f84b f80v f810 f84m f88a f84k f802 f87k f8ar f80c f8ab f86x f84u f82i f8aw f852 f85e f85j f88b f86k f84s f85v f845 f81c f809 f877 f82v f85i f86d f83j f80u f80e f830 f85s f85d f89h f839 f87o f85o f871 f85g f85m f820 f88n f861 f88m f84l f84a f87d f837 f86c f858 f878 f808 f80w f8at f844 f87n f8aa f863 f86m f887
1959 f98l f936 f97m f928 f96q f96o f99c f91b f97k f944 f95d f90u f92a f97f f973 f91x f933 f940 f93h f9ap f9ac f92d f93g f92s f92r f96y f966 f90w f952 f903 f95v f9a2 f907 f94l f95n f9an f98q f956 f9a4 f9ab f912 f980 f967 f93l f99b f94r f96s f97v f913 f992 f98a f95m f957 f932 f97i f98r f92t f97d f995 f997 f95y f93a f93s f927 f91q f92i f987 f92w f94p f9ay f95s f909 f919 f97s f954 f904 f94w f9ag f978 f90j f9at f93z f947 f95u f94f f93k f946 f999 f9aa f98n f92x f951 f98e f9ao f96u f92m f942 f95p f986 f984
1960 g01i g00t g05x g02k g05q g06v g08s g09t g02j g07d g012 g06a g00q g070 g014 g00o g05v g01v g067 g05s g07y g02l g03d g08w g008 g08j g0ah g05d g0aa g078 g052 g04u g05k g07r g053 g06j g04t g06x g079 g061 g07z g06h g07q g00h g01d g07g g00u g04l g09w g02x g0ad g06w g050 g0an g055 g09v g08p g045 g03q g032 g09g g07k g04n g08y g005 g0b0 g04k g003 g058 g09q g021 g01u g05n g00d g036 g09d g09h g03n g05f g08o g08q g08l g0ai g08d g09c g07v g07b g074 g059 g020 g00s g086 g09x g031 g025 g076 g00n g09f g0ay g072
1961 g177 g189 g16p g10m g18a g12d g1b1 g17t g17x g1ax g19f g10r g154 g114 g120 g14k g10s g139 g11f g182 g11v g14d g1ae g10e g11w g13l g19s g14c g12s g11j g16j g183 g10z g13j g175 g11a g171 g181 g10d g138 g11h g18e g17h g193 g17j g152 g11e g18v g100 g192 g1as g16r g18t g143 g15d g1aq g127 g155 g14q g11s g13k g11u g15z g10n g1at g170 g12i g17d g17y g163 g136 g173 g18g g1a1 g18d g13u g15b g185 g19y g17k g12q g15l g123 g115 g15x g1aj g1am g101 g1a0 g176 g12b g11i g146 g18w g10k g161 g12e g12h g16t g140
1962 g21o g22t g29e g2an g26i g26f g2ah g29o g2af g29f g239 g20r g22w g218 g22l g2a5 g208 g25t g22u g28h g24m g2ad g23p g27k g2b3 g22q g23a g2ai g29p g28z g22o g20d g2a3 g24d g21w g21i g23j g21h g24c g257 g224 g25x g207 g21y g26s g267 g20s g29m g2aj g278 g26v g24j g21z g237 g241 g21r g28b g232 g26g g29q g26y g24t g275 g27s g2ao g24v g21v g22i g24h g25m g23m g215 g29n g23n g22f g25i g2at g286 g20h g21g g21e g25k g210 g27z g2a4 g2a8 g29w g25f g289 g213 g201 g20e g27w g20m g24f g231 g21k g28o g23o g25h
1963 g3a1 g312 g339 g325 g38a g374 g30m g393 g35j g3a4 g373 g34u g32v g35m g327 g3aj g37w g33w g38f g34k g36i g309 g39x g35i g39l g35w g37e g35u g364 g328 g332 g37j g36q g370 g362 g34y g3aq g33g g39f g38b g32r g35s g39a g39m g30p g30l g33q g31u g39k g357 g3a3 g35g g379 g37x g31w g33x g34x g38c g38d g300 g34v g33k g334 g38z g38q g38n g36r g33b g37g g302 g34s g320 g39h g35o g347 g33v g3ai g39s g367 g34b g36x g31r g3b0 g3ak g399 g38k g31q g35l g31x g30n g38l g33p g32g g392 g39v g3a2 g39q g30i g323 g37l
1964 g451 g42z g407 g49c g438 g47p g40c g47i g44i g414 g41a g44t g415 g4a8 g459 g45e g4ag g49x g47q g4ao g40z g424 g46k g49k g45u g40g g47a g45x g481 g4aq g41q g42l g41n g435 g41t g48i g46f g479 g43f g410 g453 g44n g45b g46q g48g g44z g49e g48q g40j g48y g427 g46i g41c g447 g40m g488 g46v g47k g43x g4aa g466 g476 g44h g431 g44d g42c g40y g48n g47d g443 g4b2 g458 g465 g441 g40p g48x g42s g467 g494 g42q g405 g4ah g41l g49o g469 g43t g40k g456 g48u g42o g43e g45k g40i g46w g47n g47s g4a9 g470 g46a g46m
1965 g52u g51d g57p g5aq g57e g57z g5a7 g590 g50g g5ar g55t g5an g59t g543 g561 g503 g58u g521 g513 g58n g56g g59b g58j g522 g58h g50q g579 g52c g54u g50r g57w g57f g53g g53x g58y g53u g59k g54k g52i g564 g52q g53t g57g g581 g5a1 g545 g568 g59m g51t g54g g54p g515 g53n g59j g56d g5a2 g53w g5b0 g555 g534 g511 g59r g559 g583 g56h g51y g57c g54j g585 g5az g53r g50k g526 g588 g53h g50h g50y g54b g56t g57m g51w g58z g55e g54s g54c g59w g52h g53b g55r g59f g58a g582 g5b2 g54q g57v g55v g502 g54e g55c g55y
1966 g624 g6ab g66z g61a g6ax g696 g65s g692 g65q g65o g64k g63i g6aq g6au g61y g693 g6ap g60m g66k g629 g60i g638 g62j g68j g6al g697 g61k g68g g656 g606 g69k g698 g6a5 g68t g62p g65d g62r g681 g6ak g66h g64z g63f g6ad g6at g64r g60y g687 g69l g61q g67x g6av g64g g68v g644 g66d g66t g64t g66c g66n g65f g69y g6az g63q g60v g6ao g640 g63x g678 g66v g60r g69d g65b g63j g63s g61f g60e g62n g6aj g68e g61s g66j g6as g60h g64w g68d g61z g6a0 g627 g64v g66e g648 g6a8 g63l g649 g689 g686 g6ae g68r g65z g61m
1967 g7ab g73g g761 g74x g781 g72b g70e g71v g74b g70m g7at g76j g77z g72x g75a g7a9 g72j g70i g773 g785 g76o g78k g78u g74v g74p g77b g702 g7ae g74u g73w g74k g78j g766 g77a g73z g727 g759 g79q g79y g75l g708 g77g g73e g76h g70c g77o g70o g76l g77d g78a g765 g724 g72n g79f g79c g73l g77u g735 g71q g712 g7a5 g77r g736 g77m g741 g746 g794 g79v g774 g75z g747 g743 g72a g79t g70v g76n g757 g70d g77p g70g g73i g70k g704 g77q g76b g703 g77h g78e g77k g79x g79a g748 g7ai g79r g73p g790 g78y g76x g70h g7b3
1968 g89l g872 g88m g82f g88x g81v g810 g87p g86j g847 g83j g87o g82p g88p g8au g857 g82x g899 g801 g86i g88j g824 g862 g873 g85s g81i g851 g85o g850 g843 g83b g80f g83k g838 g80c g834 g82a g83h g86y g80k g86v g80o g82b g87f g82q g832 g89p g813 g85w g8a2 g89q g82v g863 g89t g83c g845 g88s g88r g89f g84l g85g g80i g85j g80x g88f g86k g8af g870 g84c g88o g846 g89d g83v g814 g81a g89b g880 g87z g84k g87j g891 g89o g83g g8b2 g87r g877 g8am g89j g827 g893 g83r g82n g84u g86n g83q g84f g81r g842 g86h g81q
1969 g96l g98g g99s g9am g94u g97g g942 g92f g96c g9ap g95z g904 g92b g915 g908 g92m g961 g91o g99k g98k g963 g95i g91z g90t g910 g99p g91k g979 g93o g98o g98s g9at g96o g94i g969 g966 g951 g96u g98d g91p g9aw g99c g92w g9b1 g9a9 g90p g995 g94d g98f g97u g95t g96k g95g g928 g93s g95f g90h g93k g9b3 g90w g964 g94l g94b g97q g94n g981 g987 g94h g91x g99j g91f g92e g905 g970 g96g g95b g91r g95c g94g g95v g94c g900 g938 g94a g91s g99b g90c g92r g99l g98l g95y g92x g92k g94f g9a5 g97e g99z g99n g91m g94t
1970 h04c h07s h04a h0al h06s h049 h05o h07f h0aj h0b2 h05x h02y h03y h05s h051 h00s h05l h04r h02x h097 h03o h01v h0ae h07r h08w h09f h025 h08q h02u h00j h095 h09g h04o h06g h06w h03b h08o h00g h066 h0ai h0a8 h06t h05q h064 h047 h09u h00r h019 h06z h065 h09k h02n h0ak h01i h05k h08v h06d h001 h06e h09r h0a0 h062 h0af h02f h05d h075 h00k h03q h08f h096 h06c h08n h06n h0b1 h092 h07e h052 h07m h01q h078 h00m h01g h08a h06a h05g h040 h080 h09i h06v h06f h08x h01d h00q h016 h01s h00t h09w h043 h017 h00l
1971 h17x h16q h18v h13j h18m h176 h13x h173 h122 h17r h120 h15d h1ar h108 h19h h14u h1ab h1aq h103 h16u h161 h187 h180 h101 h11q h14k h15z h17t h105 h15m h17w h16f h15y h16r h129 h17s h13t h12y h158 h128 h18e h11i h11j h15t h141 h14j h18f h10p h14w h10e h15b h134 h16m h12a h19a h18g h12t h18j h17o h132 h1aa h16y h11z h15v h14t h19y h17p h16p h124 h16h h12k h194 h14l h1b1 h191 h11w h10r h181 h1ac h17d h147 h115 h17u h1at h10g h137 h11g h151 h156 h112 h1ai h17i h140 h14n h127 h15s h1av h1ak h1ay h10m
1972 h2ai h25n h26v h293 h25y h23a h22m h22q h22w h287 h2al h29w h207 h28i h281 h210 h268 h20e h2at h24c h2a5 h22g h24b h21e h26a h23d h282 h209 h29p h265 h257 h22y h266 h23s h24t h237 h26q h25z h224 h23f h240 h23t h26t h20v h2ab h2ax h29d h22f h26r h242 h219 h25s h21a h200 h27l h27u h20b h22i h2aa h228 h235 h276 h22b h29h h236 h20t h2ak h21z h234 h27h h21v h22h h26n h21k h232 h212 h248 h29r h226 h25j h289 h270 h21l h218 h27t h27z h24f h20a h21t h26x h24z h20k h23x h230 h29n h295 h22o h28k h204 h2as
1973 h30v h3a0 h386 h315 h368 h36z h31x h32t h399 h350 h34c h346 h38o h3an h39s h35a h34d h37b h32o h30a h38b h36r h31e h32g h39m h38m h33g h35y h30p h378 h3al h35x h38r h37m h341 h33j h375 h33q h374 h31k h394 h328 h37s h37c h34e h31a h35w h32h h32a h355 h349 h366 h31b h39g h37r h364 h30c h34s h35h h38e h34l h30l h38t h32p h3a4 h36w h31c h34j h3au h344 h35b h37o h3ap h32f h3af h343 h39r h354 h332 h334 h321 h33s h38j h312 h392 h38f h32y h338 h3a7 h39j h37g h30i h357 h30x h39o h39k h36h h31m h37x h32q
1974 h41s h4a6 h47o h48h h40b h49w h458 h446 h47f h45k h42s h415 h46h h42d h40q h4at h423 h42n h47s h471 h46k h45g h49l h4au h40f h48r h48b h43c h42g h46c h421 h40m h49h h48n h45p h4a9 h4a5 h422 h49r h49t h41m h46a h477 h43g h454 h47p h42q h49a h489 h45h h464 h49b h49j h45u h46p h44f h4aq h48e h40j h452 h47l h48s h49u h499 h475 h440 h453 h49v h487 h493 h41g h45x h42l h42h h442 h439 h482 h45b h44w h49o h48u h424 h43v h476 h413 h469 h484 h42t h45y h42a h494 h426 h410 h428 h43z h40a h48l h44l h4aw h42w
1975 h51d h52a h579 h58k h54f h569 h522 h52f h5aw h55o h58a h528 h536 h5aa h59q h50k h54k h54a h526 h55b h571 h51l h54n h561 h56q h557 h58e h57p h57k h57w h55s h56z h53a h594 h52v h51c h5b2 h53c h50w h52l h51j h535 h53l h59o h50x h53u h52p h58m h54e h5a5 h51i h51p h56p h53q h50f h5ak h56i h513 h56y h562 h53s h539 h556 h5av h53k h5ab h56x h58q h54j h54w h575 h589 h55e h597 h55n h5as h507 h57y h53b h550 h57a h51k h54p h5a2 h54d h565 h5a8 h549 h58h h566 h53r h591 h521 h56a h58w h50e h558 h544 h58r h500
1976 h68y h61o h65j h63c h607 h61n h64s h69d h626 h634 h62j h67f h61v h69t h6ar h64r h62c h63f h69o h606 h6au h60c h67r h672 h61f h60i h685 h6ai h68k h681 h693 h6am h6ao h6ah h68f h65m h60j h6a7 h63t h691 h608 h600 h67m h69k h62h h64h h60p h62g h624 h63h h68c h636 h60d h605 h69q h60s h652 h630 h60e h61u h64x h69n h63q h66x h67e h60q h61z h63r h648 h65z h63g h65d h6a0 h66d h60u h63b h633 h663 h6ak h688 h63u h68g h65s h68s h627 h69i h66i h66z h61s h68a h61y h64z h67u h602 h665 h68u h62b h61b h620 h660
1977 h78u h77w h77z h75t h74q h70f h73r h7ah h75g h79l h707 h79o h77h h709 h77g h791 h71v h72l h730 h71q h770 h70c h797 h790 h741 h70p h7ai h7a9 h73n h75w h73x h79j h78c h706 h74a h734 h768 h79d h758 h78q h743 h755 h720 h711 h76s h73y h74c h70w h721 h742 h71g h71f h76w h75a h787 h71b h714 h7at h70m h79b h703 h71h h70u h7a1 h750 h74d h754 h7a7 h70y h72c h72f h747 h784 h79f h79g h75s h72m h74i h733 h7a6 h70o h74y h7am h79n h783 h73a h74j h76h h76y h76u h73z h74f h74l h708 h7aq h79m h73q h753 h756 h77m
1978 h8aj h841 h80y h82h h826 h84s h86r h81t h89r h87x h86x h83a h86n h821 h88d h84i h8an h85d h850 h83x h84v h889 h87a h81d h82u h843 h87j h809 h81c h86p h83o h82n h83h h8ag h861 h83d h88o h834 h86w h869 h83b h83e h820 h83k h81v h82g h86j h82w h840 h8al h80a h845 h827 h88m h800 h89k h86e h852 h82q h891 h808 h81a h89y h80d h84b h82v h84p h86y h82p h85l h895 h80s h865 h81r h85j h8au h88b h87v h80e h83u h828 h89f h80u h84f h883 h89w h89j h84k h85o h846 h86o h87u h859 h8ad h857 h85b h80x h85a h89s h8aa
1979 h93c h925 h900 h99j h9ak h98w h9ao h972 h94v h93v h91s h985 h932 h933 h91k h95y h94l h91x h93k h96r h95q h97v h90l h94c h96m h99i h99y h90g h90d h9ag h98g h98q h964 h92j h914 h93x h96b h94q h936 h957 h95r h99w h96n h95e h96y h910 h98s h98y h90y h99t h98l h94a h9an h917 h9av h96w h94j h93z h949 h90i h90j h950 h95w h95a h97o h90c h988 h97y h97q h91v h92t h98v h96k h98a h919 h998 h93n h92g h92v h90w h98b h97u h92m h94k h944 h96i h92f h9a7 h94b h97m h99v h9aq h92y h93j h928 h93h h992 h96x h96s h946
1980 i04q i07c i04y i05y i083 i04f i03h i07k i050 i02f i0a3 i0ar i08h i00v i051 i0au i02c i024 i02v i087 i0al i05e i0ae i01g i03c i00f i0a9 i02t i0ao i04k i0b3 i081 i09p i06t i0aw i05q i04c i04v i0aa i07f i06m i01t i01q i085 i06o i05r i009 i06f i09v i03m i06e i06l i08b i06r i0a5 i08u i01s i04n i02m i08r i00d i05d i09s i007 i01b i05t i00i i01r i05h i01v i01k i00e i09n i00b i00r i03s i06k i04s i034 i00z i07b i08n i02e i006 i075 i048 i05w i094 i030 i07z i0b0 i05l i09d i02s i07j i03r i01u i000 i07w i00k
1981 i152 i180 i17v i169 i15s i19y i15p i15l i124 i13k i18r i188 i110 i15j i173 i16y i1a0 i114 i16f i14k i15c i159 i11z i17b i18k i19q i14o i10u i10e i107 i17a i143 i1a4 i17u i16g i17k i13b i155 i184 i10q i140 i183 i181 i13c i15e i16c i18l i1ao i1ah i17r i17x i16e i121 i12v i145 i19x i1ax i163 i18q i148 i16j i128 i15o i13l i12q i153 i18t i1a1 i17i i14q i11g i139 i14f i186 i16n i16m i176 i1av i18x i1al i197 i17o i11n i194 i15x i1an i12h i161 i103 i146 i13v i120 i10d i11k i14y i12c i11p i1a7 i18f i172
1982 i2aj i298 i23j i27w i26y i26u i202 i20w i29h i29i i23i i2ai i203 i23p i29p i25d i20j i28d i205 i297 i272 i26p i27e i20t i20r i23x i2an i23w i25i i2b1 i28c i250 i24r i26n i28n i24v i28k i28l i299 i215 i273 i27z i27o i29o i243 i24m i2ac i21z i22o i275 i22y i23y i26r i29n i28j i283 i237 i2a3 i28q i28h i22p i23r i220 i27p i20v i26m i28z i24y i26t i20b i23q i232 i22w i20n i29m i26x i21c i2ad i29w i26h i2a5 i21l i239 i23f i295 i213 i22c i25y i24g i276 i2a8 i25g i226 i21i i292 i22q i271 i25w i25n i29d
1983 i336 i39v i38b i312 i330 i389 i35z i354 i300 i34i i353 i3a1 i32d i31f i35t i32g i392 i30h i301 i3ar i3ap i36y i372 i31j i328 i38v i32l i325 i34r i3at i34c i36d i3b0 i391 i39n i37h i371 i36r i31c i34l i30s i347 i37k i35x i39h i33n i3ak i323 i39j i3a6 i30u i329 i3a4 i34y i32r i33a i374 i36u i38o i37f i38d i31b i37p i30x i35h i355 i35n i37b i304 i31m i38y i321 i36b i39o i36w i39g i39q i30y i30e i33o i320 i32s i33e i37q i33u i3ac i376 i31i i32v i380 i3aa i37n i39i i30d i3ae i3aj i33b i30a i38n i3ao
1984 i4a1 i41u i44m i42p i4al i41b i40w i445 i4au i46r i4ax i48y i44c i48q i41r i47y i48w i45k i49r i46u i45m i4a2 i47p i43n i43s i48c i42f i4ad i479 i4aa i40l i45i i49g i44l i44t i41c i45t i41k i440 i439 i42a i4a3 i45w i48d i46c i420 i448 i44d i47e i48x i49h i437 i459 i45x i49d i41t i441 i45e i429 i471 i436 i423 i47v i47w i426 i49i i49m i461 i41h i41s i41z i44f i422 i48m i482 i462 i49b i43j i470 i47g i42n i499 i49o i475 i42y i49q i431 i405 i48n i46f i46q i401 i47b i47f i47h i42q i46g i495 i487 i4am
